Deutsch	Wissenschaftlich
Riesen-Schachtelhalm	Equisetum telmateia
Streifenfarngewächse	Aspleniaceae
Athyriaceae	Athyriaceae
Aspidiaceae	Aspidiaceae
Adlerfarn	Pteridium aquilinum
Rippenfarn	Blechnum spicant
Gewöhnlicher Blasenfarn	Cystopteris fragilis
Narzisse	Narcissus
Dichter-Narzisse	Narcissus poeticus
Frühlings-Segge	Carex caryophyllea
Gefingerte Segge	Carex digitata
Rost-Segge	Carex ferruginea
Polster-Segge	Carex firma
Bleiche Segge	Carex pallescens
Hirsen-Segge	Carex panicea
Nacktriedbinse	Elyna myosuroides
Breitblättriges Wollgras	Eriophorum latifolium
Scheuchzers Wollgras	Eriophorum scheuchzeri
Scheidiges Wollgras	Eriophorum vaginatum
Rostrote Kopfbinse	Schoenus ferrugineus
Waldbinse	Scirpus sylvaticus
Schwertlilie	Iris
Sibirische Schwertlilie	Iris sibirica
Flatter-Binse	Juncus effusus
Dreispaltige Binse	Juncus trifidus
Behaarte Hainsimse	Luzula pilosa
Wasserlinsengewächse	Lemnaceae
Kleine Wasserlinse	Lemna minor
Schnittlauch	Allium schoenoprasum
Türkenbund	Lilium martagon
Faltenlilie	Lloydia serotina
Zweiblättrige Schattenblume	Maianthemum bifolium
Quirlblättriges Salomonssiegel	Polygonatum verticillatum
Kelch-Liliensimse	Tofieldia calyculata
Weinberg-Tulpe	Tulipa sylvestris
Frauenschuh	Cypripedium calceolus
Dactylorhiza majalis	Dactylorhiza majalis
Grosses Zweiblatt	Listera ovata
Fliegen-Ragwurz	Ophrys insectifera
Schwärzliche Orchis	Orchis ustulata
Kriechendes Straussgras	Agrostis stolonifera
Gewöhnlicher Windhalm	Apera spica-venti
Saat-Hafer	Avena sativa
Fieder-Zwenke	Brachypodium pinnatum
Buntes Reitgras	Calamagrostis varia
Rasen-Schmiele	Deschampsia caespitosa
Festuca arundinacea	Festuca arundinacea
Gerste	Hordeum
Saat-Gerste	Hordeum vulgare
Waldhirse	Milium effusum
Blaues Pfeifengras	Molinia caerulea
Roggen	Secale cereale
Gewöhnlicher Weizen	Triticum aestivum
Mais	Zea mays
Zwenke	Brachypodium
Rohrkolbengewächse	Typhaceae
Breitblättriger Rohrkolben	Typha latifolia
Seerosengewächse	Nymphaeaceae
Weisse Seerose	Nymphaea alba
Grosse Teichrose	Nuphar lutea
Blauer Eisenhut	Aconitum napellus
Gelber Eisenhut	Aconitum vulparia
Frühlings-Adonisröschen	Adonis aestivalis
Anemone	Anemone
Acker-Rittersporn	Consolida regalis
Stinkende Nieswurz	Helleborus foetidus
Gletscher-Hahnenfuss	Ranunculus glacialis
Pyrenäen-Hahnenfuss	Ranunculus kuepferi
Paronychienartige	Paronychioideae
Kahles Bruchkraut	Herniaria glabra
Rote Schuppenmiere	Spergularia rubra
Arenaria	Arenaria
Minuartia	Minuartia
Aufrechtes Hornkraut	Cerastium strictum
Wald-Sternmiere	Stellaria nemorum
Zweiblütiges Sandkraut	Arenaria biflora
Quendelblättriges Sandkraut	Arenaria serpyllifolia
Frühlings-Miere	Minuartia verna
Zwerg-Miere	Minuartia sedoides
Pracht-Nelke	Dianthus superbus
Seifenkraut	Saponaria
Gewöhnliches Seifenkraut	Saponaria officinalis
Kuckucks-Lichtnelke	Silene flos-cuculi
Weisse Waldnelke	Silene latifolia
Runkelrübe	Beta vulgaris
Fuchsschwanzgewächse	Amaranthaceae
Zurückgekrümmter Fuchsschwanz	Amaranthus retroflexus
Säuerling	Oxyria digyna
Japanischer Staudenknöterich	Reynoutria japonica
Vogel-Knöterich	Polygonum aviculare
Pfirsichblättriger Knöterich	Polygonum persicaria
Hänge-Birke	Betula pendula
Moor-Birke	Betula pubescens
Flaum-Eiche	Quercus pubescens
Stiel-Eiche	Quercus robur
Trauben-Eiche	Quercus petraea
Hanf	Cannabis sativa
Spinnweb-Hauswurz	Sempervivum arachnoideum
Sempervivum montanum	Sempervivum montanum
Weisser Mauerpfeffer	Sedum album
Scharfer Mauerpfeffer	Sedum acre
Dunkler Mauerpfeffer	Sedum atratum
Wechselblättriges Milzkraut	Chrysosplenium alternifolium
Steinbrech	Saxifraga
Moosartiger Steinbrech	Saxifraga bryoides
Blaugrüner Steinbrech	Saxifraga caesia
Herzblattgewächse	Parnassiaceae
Studentenröschen	Parnassia palustris
Felsenmispel	Amelanchier ovalis
Gewöhnliche Steinmispel	Cotoneaster integerrima
Eingriffliger Weissdorn	Crataegus monogyna
Holz-Apfelbaum	Malus sylvestris
Crantz Fingerkraut	Potentilla crantzii
Erdbeer-Fingerkraut	Potentilla sterilis
Süsskirsche	Prunus avium
Wild-Birnbaum	Pyrus pyraster
Brombeere	Rubus fruticosus
Himbeere	Rubus idaeus
Elsbeerbaum	Sorbus torminalis
Sibbaldie	Sibbaldia procumbens
Gletscher-Tragant	Astragalus frigidus
Alpen-Süssklee	Hedysarum hedysaroides
Frühlings-Platterbse	Lathyrus vernus
Sichelklee	Medicago falcata
Saat-Luzerne	Medicago sativa
Honigklee	Melilotus
Weisser Honigklee	Melilotus albus
Gewöhnlicher Honigklee	Melilotus officinalis
Robinie	Robinia pseudoacacia
Kleiner Klee	Trifolium dubium
Gewöhnliches Hexenkraut	Circaea lutetiana
Gewöhnliche Nachtkerze	Oenothera biennis
Schmalblättriges Weidenröschen	Epilobium angustifolium
Berg-Weidenröschen	Epilobium montanum
Rundblättriger Storchschnabel	Geranium rotundifolium
Balsaminaceae	Balsaminaceae
Impatiens parviflora	Impatiens parviflora
Impatiens noli-tangere	Impatiens noli-tangere
Impatiens glandulifera	Impatiens glandulifera
Sonnenwend-Wolfsmilch	Euphorbia helioscopia
Seidelbastgewächse	Thymelaeaceae
Gewöhnlicher Seidelbast	Daphne mezereum
Gestreifter Seidelbast	Daphne striata
Astrantia major	Astrantia major
Chaerophyllum villarsii	Chaerophyllum villarsii
Daucus carota	Daucus carota
Ligusticum mutellina	Ligusticum mutellina
Sanicula europaea	Sanicula europaea
Heracleum mantegazzianum	Heracleum mantegazzianum
Heracleum	Heracleum
Johanniskrautgewächse	Hypericaceae
Gewöhnliches Johanniskraut	Hypericum perforatum
Acker-Stiefmütterchen	Viola arvensis
Kohl	Brassica
Raps	Brassica napus
Gemüse-Kohl	Brassica oleracea
Immergrünes Felsenblümchen	Draba aizoides
Silberling	Lunaria annua
Acker-Senf	Sinapis arvensis
Silber-Weide	Salix alba
Lavendel-Weide	Salix elaeagnos
Malvengewächse	Malvaceae
Kleine Malve	Malva neglecta
Wilde Malve	Malva sylvestris
Acker-Gauchheil	Anagallis arvensis
